ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
KEY,A,D,D,C,A,A,B,D,B,C,D,C,B,A,A,C,D,E,T,F
STUDENT_01,B,B,B,C,D,A,B,D,A,C,D,D,C,A,D,C,D,E,T,T
STUDENT_02,A,D,D,C,A,A,D,B,D,D,D,C,A,D,D,C,D,E,T,T
STUDENT_03,A,D,D,C,B,A,B,D,B,B,D,C,B,D,A,C,D,E,T,F
STUDENT_04,A,D,D,C,D,A,B,A,D,C,A,C,A,A,A,C,D,E,T,F
STUDENT_05,B,D,D,C,A,A,B,D,A,C,B,C,B,D,A,A,D,E,T,F
STUDENT_06,D,B,D,C,A,A,A,B,C,D,A,B,C,D,C,B,D,E,T,T
STUDENT_07,A,D,D,C,A,A,B,B,D,A,C,D,B,A,A,C,D,E,T,T
STUDENT_08,B,D,D,C,A,A,B,D,B,C,D,C,B,A,D,E,D,C,T,F
STUDENT_09,B,B,D,C,D,A,B,C,B,A,D,C,C,A,A,C,D,E,T,F
STUDENT_10,B,B,D,C,A,A,B,C,C,D,D,C,C,D,A,C,D,E,T,T
STUDENT_11,A,D,B,C,D,A,C,B,C,D,D,B,A,D,A,B,D,E,T,T
STUDENT_12,C,D,B,C,C,A,B,B,D,A,D,A,B,A,A,A,C,D,T,T
STUDENT_13,A,D,B,C,A,B,C,A,B,D,D,A,B,C,D,C,D,E,F,T
STUDENT_14,B,D,D,C,A,A,B,D,B,C,D,C,B,A,D,C,D,E,T,F
STUDENT_15,A,D,D,C,B,A,B,D,B,C,D,C,B,A,A,C,D,E,T,F
STUDENT_16,B,D,D,C,A,A,B,D,B,C,D,C,B,A,D,C,D,E,T,F
STUDENT_17,A,D,D,C,A,A,A,D,B,C,D,B,A,A,A,C,D,E,T,F
STUDENT_18,A,D,D,C,A,A,B,D,B,C,D,C,A,A,A,C,D,E,T,F
STUDENT_19,B,D,D,C,A,D,B,D,B,C,D,C,B,A,D,C,D,E,T,F
STUDENT_20,A,D,B,C,A,A,B,D,B,D,D,C,B,A,D,C,D,E,T,F
STUDENT_21,A,D,D,C,A,A,B,D,B,C,D,C,B,A,D,C,D,E,T,F
STUDENT_22,A,D,D,C,A,A,B,D,B,C,B,C,B,A,A,C,D,E,T,F
STUDENT_23,A,D,D,C,A,C,B,D,B,A,D,C,B,A,D,C,D,E,T,F
STUDENT_24,A,D,D,C,A,B,B,D,B,C,D,C,B,A,D,C,D,E,T,F
STUDENT_25,C,A,D,C,A,A,B,D,A,C,D,C,B,A,A,C,D,E,T,F
STUDENT_26,A,D,D,C,A,A,B,D,B,C,D,C,B,A,A,C,D,E,T,F
STUDENT_27,A,D,D,C,A,A,A,D,C,C,D,C,B,A,D,C,D,E,T,F
STUDENT_28,B,D,D,C,B,B,B,A,A,C,D,C,B,A,A,C,D,E,T,F
STUDENT_29,D,B,D,C,A,A,C,B,C,C,D,C,C,D,A,C,D,E,F,T
STUDENT_30,C,B,D,C,B,D,A,B,B,B,C,D,B,D,B,D,E,B,T,T
STUDENT_31,B,B,D,C,C,A,D,B,B,B,D,D,D,C,A,C,E,A,F,T
STUDENT_32,B,D,D,C,A,C,B,D,C,C,D,C,B,A,A,C,D,E,T,F
STUDENT_33,A,D,D,C,A,A,B,D,B,C,D,C,B,A,A,C,D,E,T,F
STUDENT_34,A,D,D,C,A,A,B,A,B,C,D,C,B,A,D,C,D,E,T,F
